Opp K%,K Per Game,CSW%,Last 3 Average,Results
0.27,4.9,0.29,6,7
0.27,1,0.25,1,3
0.25,4.3,0.28,5.666666667,8
0.25,4.3,0.34,6.333333333,5
0.25,2.2,0.35,3,4
0.25,1.2,0.28,1.666666667,4
0.24,4.7,0.28,4.666666667,3
0.24,3.2,0.26,3.666666667,0
0.24,7.6,0.32,7,8
0.24,5.5,0.29,5.666666667,6
0.24,4.6,0.28,4,2
0.24,3.8,0.27,4,3
0.24,4.8,0.29,6,9
0.24,1.4,0.35,1,8
0.22,3.8,0.25,2.333333333,2
0.22,3.7,0.24,1.333333333,2
0.22,3,0.26,3,4
0.22,1,0.23,1,4
0.22,4.6,0.28,3.333333333,4
0.21,2.7,0.31,4.666666667,3
0.21,4.1,0.28,3.666666667,9
0.21,4.3,0.29,5.666666667,8
0.21,3.4,0.28,4.333333333,3
0.20,3.4,0.27,3.666666667,4
0.19,3.3,0.27,0.6666666667,6
26.8%,5.5,30.3%,7.666666667,8
26.8%,5.3,29.9%,5.333333333,9
25.4%,3.4,28.0%,4,4
24.9%,5.8,28.3%,4,4
24.7%,3.9,25.2%,3,7
24.7%,2.7,24.6%,2.666666667,4
24.3%,5.8,31.5%,4.333333333,10
24.0%,6.8,30.1%,6.333333333,7
23.6%,5.4,28.9%,4.333333333,4
22.4%,5.8,28.3%,6,7
22.3%,4.8,27.0%,6.333333333,1
22.0%,5.2,26.8%,4,4
21.4%,6.9,32.7%,4.666666667,5
21.2%,5.1,29.8%,3.666666667,2
20.5%,5.6,28.7%,4,3
20.1%,4.5,27.6%,4,1
19.3%,5.7,28.7%,6,6
17.6%,5.7,29.8%,4,1
26.8%,3.9,27.3%,4,4
26.8%,4.9,27.7%,6.333333333,7
25.4%,3.3,29.3%,3.333333333,3
24.7%,3.4,25.4%,3,4
24.7%,2.3,23.9%,2.333333333,0
24.4%,4.4,27.1%,3.666666667,5
24.0%,3.1,24.3%,3,3
24.0%,5.8,30.2%,5,1
23.9%,4.4,27.5%,6,5
23.7%,4,26.0%,5.666666667,5
23.6%,5.7,28.7%,7.333333333,4
23.6%,3.5,26.2%,2.666666667,4
22.4%,5.9,30.2%,4.333333333,5
22.3%,5.8,30.1%,8.333333333,5
22.2%,4.7,27.5%,3.666666667,2
22.0%,4.4,30.0%,5.333333333,1
21.6%,6.4,30.6%,5.666666667,5
21.4%,4.6,29.0%,3,5
21.3%,5,25.9%,5.333333333,2
21.2%,5.7,28.2%,6.333333333,2
21.2%,4,26.7%,5,3
20.5%,5.1,28.2%,5.666666667,6
20.4%,4.8,29.5%,3,11
20.2%,5.5,29.1%,4,4
20.1%,6,28.6%,6.333333333,4
19.4%,4.9,27.3%,5,2
19.3%,4.1,26.3%,4.333333333,4
17.6%,6,30.7%,4.666666667,4
