Opp K%,K Per Game,CSW%,Last 3 Average,Results
0.27,4.9,0.29,6,7
0.27,1,0.25,1,3
0.25,4.3,0.28,5.666666667,8
0.25,4.3,0.34,6.333333333,5
0.25,2.2,0.35,3,4
0.25,1.2,0.28,1.666666667,4
0.24,4.7,0.28,4.666666667,3
0.24,3.2,0.26,3.666666667,0
0.24,7.6,0.32,7,8
0.24,5.5,0.29,5.666666667,6
0.24,4.6,0.28,4,2
0.24,3.8,0.27,4,3
0.24,4.8,0.29,6,9
0.24,1.4,0.35,1,8
0.22,3.8,0.25,2.333333333,2
0.22,3.7,0.24,1.333333333,2
0.22,3,0.26,3,4
0.22,1,0.23,1,4
0.22,4.6,0.28,3.333333333,4
0.21,2.7,0.31,4.666666667,3
0.21,4.1,0.28,3.666666667,9
0.21,4.3,0.29,5.666666667,8
0.21,3.4,0.28,4.333333333,3
0.20,3.4,0.27,3.666666667,4
0.19,3.3,0.27,0.6666666667,6
0.27,5.5,0.30,7.666666667,8
0.27,5.3,0.30,5.333333333,9
0.25,3.4,0.28,4,4
0.25,5.8,0.28,4,4
0.25,3.9,0.25,3,7
0.25,2.7,0.25,2.666666667,4
0.24,5.8,0.32,4.333333333,10
0.24,6.8,0.30,6.333333333,7
0.24,5.4,0.29,4.333333333,4
0.22,5.8,0.28,6,7
0.22,4.8,0.27,6.333333333,1
0.22,5.2,0.27,4,4
0.21,6.9,0.33,4.666666667,5
0.21,5.1,0.30,3.666666667,2
0.21,5.6,0.29,4,3
0.20,4.5,0.28,4,1
0.19,5.7,0.29,6,6
0.18,5.7,0.30,4,1
0.27,3.9,0.27,4,4
0.27,4.9,0.28,6.333333333,7
0.25,3.3,0.29,3.333333333,3
0.25,3.4,0.25,3,4
0.25,2.3,0.24,2.333333333,0
0.24,4.4,0.27,3.666666667,5
0.24,3.1,0.24,3,3
0.24,5.8,0.30,5,1
0.24,4.4,0.28,6,5
0.24,4,0.26,5.666666667,5
0.24,5.7,0.29,7.333333333,4
0.24,3.5,0.26,2.666666667,4
0.22,5.9,0.30,4.333333333,5
0.22,5.8,0.30,8.333333333,5
0.22,4.7,0.28,3.666666667,2
0.22,4.4,0.30,5.333333333,1
0.22,6.4,0.31,5.666666667,5
0.21,4.6,0.29,3,5
0.21,5,0.26,5.333333333,2
0.21,5.7,0.28,6.333333333,2
0.21,4,0.27,5,3
0.21,5.1,0.28,5.666666667,6
0.20,4.8,0.30,3,11
0.20,5.5,0.29,4,4
0.20,6,0.29,6.333333333,4
0.19,4.9,0.27,5,2
0.19,4.1,0.26,4.333333333,4
0.18,6,0.31,4.666666667,4
