Opp K%,K Per Game,CSW%,Last 3 Average,Results
26.80%,4.9,28.70%,6,7
26.80%,1,25.00%,1,3
25.40%,4.3,27.90%,5.666666667,8
24.90%,4.3,33.50%,6.333333333,5
24.70%,2.2,35.10%,3,4
24.70%,1.2,27.80%,1.666666667,4
24.40%,4.7,28.00%,4.666666667,3
24.30%,3.2,26.40%,3.666666667,0
24.00%,7.6,31.60%,7,8
24.00%,5.5,29.40%,5.666666667,6
23.90%,4.6,28.20%,4,2
23.70%,3.8,27.20%,4,3
23.60%,4.8,28.90%,6,9
23.60%,1.4,34.70%,1,8
22.40%,3.8,25.10%,2.333333333,2
22.30%,3.7,24.20%,1.333333333,2
22.20%,3,25.70%,3,4
22.00%,1,22.80%,1,4
21.60%,4.6,28.20%,3.333333333,4
21.40%,2.7,31.00%,4.666666667,3
21.30%,4.1,28.20%,3.666666667,9
21.20%,4.3,29.30%,5.666666667,8
20.50%,3.4,27.60%,4.333333333,3
20.40%,3.4,26.80%,3.666666667,4
19.30%,3.3,27.40%,0.6666666667,6
